Time,U1,U2,U3,U4,U5,Utot,J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC
0,0.67547,0.66936,0.66931,0.66806,0.66486,3.34784,0.70159,70.15921,27.03444,41.15113,42.28285,51.64622,53.7995,55.48139,1300.7726,1268.19477,1301.60132,1288.63308,4.79854,2.11409,23.03746,21.38373,2.03546,49.67532
1,0.67561,0.66951,0.66939,0.66825,0.66506,3.3485,0.7016,70.15964,26.98067,41.10655,42.28,51.64401,53.8012,55.47555,1300.75628,1268.14899,1301.59696,1288.66593,4.79857,2.11432,23.03737,21.38601,2.03677,49.67983
2,0.67574,0.66965,0.66947,0.66842,0.66524,3.34912,0.7016,70.16009,26.92851,41.06222,42.27734,51.64153,53.80284,55.46976,1300.73781,1268.10197,1301.6011,1288.70686,4.79859,2.11452,23.03728,21.38809,2.03804,49.68555
3,0.67585,0.66978,0.66953,0.66858,0.66542,3.34969,0.70161,70.16054,26.87827,41.01819,42.2749,51.63887,53.80439,55.46402,1300.71643,1268.05296,1301.61094,1288.75285,4.79862,2.11468,23.03719,21.38999,2.03928,49.69235
4,0.67596,0.6699,0.66959,0.66873,0.66559,3.35021,0.70161,70.16099,26.83023,40.97459,42.27271,51.63615,53.80584,55.45827,1300.69215,1268.0019,1301.6234,1288.80054,4.79864,2.1148,23.0371,21.39178,2.04048,49.70019
5,0.67606,0.67001,0.66964,0.66888,0.66575,3.35069,0.70161,70.16142,26.78458,40.93166,42.27073,51.63343,53.80723,55.45254,1300.66526,1267.94899,1301.63603,1288.84723,4.79866,2.11487,23.03701,21.39349,2.04165,49.70892
6,0.67614,0.67011,0.66969,0.66901,0.6659,3.35114,0.70162,70.16185,26.74146,40.88954,42.26887,51.63069,53.80856,55.44686,1300.63661,1267.89466,1301.64924,1288.89344,4.79869,2.1149,23.03693,21.39514,2.0428,49.71821
7,0.67623,0.6702,0.66974,0.66914,0.66604,3.35156,0.70162,70.16227,26.7007,40.84813,42.26707,51.62784,53.80988,55.4413,1300.60824,1267.84029,1301.66263,1288.9395,4.79871,2.11494,23.03685,21.39671,2.04394,49.72776
8,0.67631,0.67029,0.66978,0.66926,0.66618,3.35195,0.70163,70.16269,26.66161,40.80695,42.26528,51.62467,53.81121,55.43599,1300.58333,1267.78814,1301.68251,1288.99346,4.79874,2.11502,23.03678,21.39809,2.04504,49.73736
9,0.67638,0.67038,0.66982,0.66937,0.66632,3.35231,0.70163,70.16317,26.62248,40.76521,42.26349,51.62072,53.81263,55.43128,1300.56668,1267.7427,1301.73734,1289.08742,4.79878,2.11522,23.0367,21.39881,2.04598,49.74711
10,0.67634,0.67038,0.66977,0.66937,0.66637,3.35224,0.70163,70.16349,26.61587,40.7283,42.26578,51.6161,53.81393,55.42901,1300.53474,1267.69321,1301.85958,1289.23798,4.79877,2.11496,23.03664,21.39813,2.0464,49.76235
11,0.67625,0.67035,0.66967,0.66934,0.66638,3.352,0.70164,70.16369,26.62003,40.69923,42.27003,51.61219,53.81498,55.42726,1300.48866,1267.64221,1301.98546,1289.37804,4.79876,2.11454,23.03657,21.39769,2.04665,49.7815
12,0.67612,0.67027,0.66955,0.66928,0.66637,3.35158,0.70164,70.16376,26.63425,40.67761,42.27514,51.60975,53.8155,55.42532,1300.43118,1267.59054,1302.09849,1289.48512,4.79874,2.11398,23.03653,21.3977,2.04687,49.80427
13,0.67596,0.67017,0.66942,0.66921,0.66633,3.35106,0.70164,70.16371,26.66062,40.66486,42.27974,51.60914,53.81583,55.42321,1300.36282,1267.53233,1302.18237,1289.54533,4.79872,2.11337,23.03653,21.39812,2.04712,49.8292
14,0.67581,0.67007,0.66931,0.66914,0.66629,3.35055,0.70164,70.16357,26.70237,40.66485,42.28272,51.61013,53.81627,55.42123,1300.28582,1267.46234,1302.20429,1289.53258,4.79873,2.11286,23.03658,21.39891,2.04741,49.85339
15,0.67568,0.67,0.6692,0.66907,0.66624,3.35011,0.70163,70.16332,26.75911,40.67776,42.28456,51.61255,53.8172,55.41981,1300.20895,1267.38398,1302.14733,1289.44019,4.79875,2.11266,23.03666,21.3999,2.04777,49.8746
16,0.67558,0.66996,0.66911,0.66901,0.66622,3.3498,0.70163,70.16284,26.82547,40.69923,42.28726,51.61638,53.81896,55.41898,1300.14327,1267.30933,1301.97848,1289.24148,4.79878,2.1126,23.03674,21.40107,2.04819,49.89341
17,0.67551,0.66996,0.66903,0.66899,0.66622,3.34963,0.70162,70.16205,26.89649,40.72702,42.29201,51.62225,53.82168,55.41874,1300.08831,1267.23845,1301.71262,1288.95393,4.79877,2.11226,23.03684,21.40238,2.04869,49.91106
18,0.67546,0.67,0.66897,0.669,0.66625,3.34962,0.70161,70.16095,26.97008,40.76373,42.2993,51.63076,53.82533,55.41926,1300.03881,1267.17157,1301.40612,1288.63521,4.79872,2.11139,23.03695,21.40424,2.04925,49.92865
19,0.67545,0.67007,0.66896,0.66905,0.66632,3.34976,0.7016,70.15961,27.04392,40.81512,42.30844,51.64204,53.82924,55.42027,1299.9951,1267.11952,1301.14124,1288.36257,4.79862,2.11008,23.03711,21.40695,2.04968,49.94707
20,0.67547,0.67015,0.66898,0.66912,0.66642,3.35002,0.70158,70.1582,27.11406,40.88519,42.31775,51.65529,53.83221,55.42097,1299.96318,1267.08959,1300.97766,1288.18955,4.79849,2.10863,23.03729,21.41025,2.04984,49.96684
21,0.67552,0.67022,0.66903,0.66921,0.66653,3.3504,0.70157,70.15699,27.17379,40.958,42.32577,51.66727,53.83335,55.42117,1299.93784,1267.07438,1300.91929,1288.11856,4.79836,2.10721,23.03751,21.41368,2.04962,49.98561
22,0.6756,0.67029,0.66912,0.66933,0.66667,3.35089,0.70156,70.15615,27.21588,41.01961,42.33218,51.67542,53.83265,55.42128,1299.90067,1267.05043,1300.93972,1288.12969,4.79829,2.10592,23.03772,21.41659,2.04908,50.0009
23,0.67571,0.67037,0.66923,0.66947,0.66683,3.35148,0.70156,70.15559,27.24679,41.07493,42.33652,51.68066,53.83039,55.42144,1299.85088,1267.00847,1300.99474,1288.18555,4.79828,2.10476,23.03788,21.41848,2.04829,50.01321
24,0.67582,0.67046,0.66935,0.6696,0.66699,3.35212,0.70156,70.15524,27.26989,41.1272,42.33914,51.68539,53.82751,55.42221,1299.80081,1266.95935,1301.08133,1288.28499,4.79829,2.10375,23.03797,21.41907,2.04745,50.02282
25,0.67593,0.67056,0.66946,0.66972,0.66715,3.35273,0.70155,70.15497,27.28699,41.1757,42.34087,51.69043,53.82489,55.42415,1299.75909,1266.91338,1301.20987,1288.4305,4.79828,2.10288,23.03802,21.41868,2.04667,50.02897
26,0.67602,0.67063,0.66953,0.66982,0.66728,3.35324,0.70155,70.15475,27.30482,41.22171,42.34166,51.69505,53.82246,55.42699,1299.73444,1266.88322,1301.39521,1288.63112,4.79824,2.10227,23.03803,21.41786,2.04582,50.03213
27,0.67607,0.67068,0.66956,0.66988,0.66739,3.35356,0.70155,70.15453,27.32982,41.26597,42.34103,51.69883,53.81981,55.43016,1299.71468,1266.87091,1301.65435,1288.90314,4.79818,2.10205,23.03801,21.41702,2.04477,50.03297
28,0.67608,0.67067,0.66954,0.66991,0.66745,3.35364,0.70155,70.15437,27.36148,41.30567,42.33799,51.70208,53.81602,55.43267,1299.69417,1266.87782,1301.98284,1289.24532,4.79813,2.1023,23.03796,21.41617,2.0436,50.03291
29,0.67604,0.67062,0.66946,0.66989,0.66746,3.35347,0.70155,70.15435,27.38829,41.3384,42.33179,51.70471,53.81078,55.43399,1299.67672,1266.90026,1302.37198,1289.65059,4.79809,2.10316,23.0379,21.41514,2.04244,50.03092
30,0.67595,0.67052,0.66935,0.66982,0.66742,3.35305,0.70155,70.15467,27.39869,41.35595,42.32293,51.70498,53.80518,55.43468,1299.67125,1266.93954,1302.78356,1290.07594,4.79808,2.1048,23.03782,21.41394,2.0414,50.02518
31,0.67582,0.67039,0.66919,0.6697,0.66732,3.35242,0.70156,70.1554,27.39025,41.35225,42.31271,51.70009,53.8005,55.43516,1299.67599,1266.98787,1303.14207,1290.44217,4.79813,2.10728,23.03771,21.41266,2.04057,50.01584
32,0.67566,0.67022,0.66898,0.66955,0.66717,3.3516,0.70157,70.15636,27.36547,41.3308,42.30222,51.69113,53.79721,55.43552,1299.68652,1267.03898,1303.35651,1290.65621,4.7982,2.1103,23.03757,21.41132,2.03998,50.00385
33,0.67546,0.67005,0.66875,0.66937,0.667,3.35063,0.70157,70.15725,27.34434,41.29848,42.29262,51.68215,53.79585,55.43595,1299.70177,1267.09268,1303.41044,1290.70293,4.79827,2.11361,23.03742,21.40981,2.03957,49.99095
34,0.67525,0.66987,0.6685,0.66917,0.66682,3.34962,0.70158,70.15793,27.33742,41.26535,42.28479,51.67465,53.79651,55.43617,1299.71256,1267.14251,1303.29006,1290.57107,4.79829,2.11683,23.03729,21.40844,2.03938,49.98032
35,0.67505,0.6697,0.66825,0.66896,0.66665,3.34864,0.70158,70.15846,27.33919,41.23714,42.27897,51.66827,53.79888,55.43619,1299.71349,1267.1836,1303.00935,1290.27712,4.79828,2.11974,23.03718,21.40747,2.03931,49.97351
36,0.67486,0.66955,0.66803,0.66877,0.66648,3.34771,0.70159,70.15891,27.34506,41.21396,42.27598,51.6629,53.80238,55.43636,1299.70881,1267.21937,1302.60434,1289.85906,4.79826,2.12216,23.03711,21.40719,2.03922,49.96996
